co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
1468.66,14.75,21.93,1.01,15.5,23.35,41.59,8.11,1/1/2025 0:00
2643.59,38.44,25.7,0.98,24.08,36.97,61.97,11.53,1/1/2025 1:00
2964.02,45.15,30.16,1.1,29.09,41.61,69.86,14.44,1/1/2025 2:00
2323.15,32.63,33.93,1.48,30.28,34.91,61.08,14.44,1/1/2025 3:00
1108.17,8.16,33.24,4.69,25.75,16.2,27.36,6.46,1/1/2025 4:00
907.9,4.14,31.53,9.66,23.6,13.72,20.83,4.18,1/1/2025 5:00
947.95,3.38,27.42,18.42,20.5,13.61,19.71,3.55,1/1/2025 6:00
1134.87,4.47,29.13,27.89,21.46,16.33,23.64,4.24,1/1/2025 7:00
1428.6,4.3,37.01,25.03,22.41,21.41,30.67,5.26,1/1/2025 8:00
1815.8,4.97,49.35,17.17,25.51,28.29,39.12,5.76,1/1/2025 9:00
2750.4,16.76,70.6,3.76,33.38,45.4,59.54,6.84,1/1/2025 10:00
3791.81,39.79,78.14,0.22,38.62,65.55,84.68,8.23,1/1/2025 11:00
3898.62,46.04,65.12,0,33.38,72.75,97.45,10.26,1/1/2025 12:00
3791.81,46.49,48.67,0,30.04,74.86,108.4,12.92,1/1/2025 13:00
3311.16,40.68,34.96,0,26.94,69.28,112.14,13.43,1/1/2025 14:00
2777.1,33.53,26.05,0,22.89,60.76,108.75,12.92,1/1/2025 15:00
2403.26,29.95,21.59,0,19.79,49.55,94.87,10.89,1/1/2025 16:00
1949.31,24.59,19.02,0,15.97,33.93,68.88,7.09,1/1/2025 17:00
1415.25,16.32,17.48,0.01,12.76,24.86,51.81,5.51,1/1/2025 18:00
1041.41,8.94,16.45,0.1,10.37,20.88,43.89,4.94,1/1/2025 19:00
894.55,6.03,16.11,0.24,9.54,20.5,42.23,4.94,1/1/2025 20:00
867.84,6.03,16.11,0.2,9.89,21.96,43.75,5.07,1/1/2025 21:00
961.3,8.83,16.11,0.05,11.32,24.68,47.52,5.45,1/1/2025 22:00
1295.09,16.32,16.45,0,14.19,31.07,57.41,6.71,1/1/2025 23:00
2777.1,44.7,19.19,0.09,24.08,57.23,96.29,12.16,1/2/2025 0:00
5340.58,96.56,25.7,0.3,40.53,92,145.38,18.49,1/2/2025 1:00
6301.88,116.23,30.85,0.51,47.68,102.61,163.06,24.57,1/2/2025 2:00
5233.76,93.88,32.56,0.83,44.35,88.13,145.61,26.85,1/2/2025 3:00
1562.12,19.67,25.7,4.6,20.5,23.3,40.93,9.63,1/2/2025 4:00
1161.58,11.18,28.1,9.83,21.93,16.16,27.97,7.47,1/2/2025 5:00
1174.93,8.27,35.3,15.91,26.7,16.7,27.65,6.97,1/2/2025 6:00
1174.93,2.99,41.47,18.06,28.61,17.17,27.53,6.46,1/2/2025 7:00
1174.93,1.38,41.13,22.89,28.37,17.93,27.94,6.14,1/2/2025 8:00
1228.33,0.98,43.53,24.68,29.8,19.11,28.77,5.95,1/2/2025 9:00
1815.8,3.74,60.32,11.35,36.24,25.92,39.09,7.98,1/2/2025 10:00
2883.91,18.33,71.97,0.63,44.82,40.47,63,12.29,1/2/2025 11:00
3284.45,24.14,74.03,0.02,47.21,56.67,89.93,15.83,1/2/2025 12:00
3471.37,27.94,75.4,0,51.98,75.3,118.35,18.75,1/2/2025 13:00
3685,37.1,68.55,0,48.16,89.24,143.9,22.04,1/2/2025 14:00
